iteration dijkstra random bandits
1 0.432 0.557 0.903
2 0.432 0.571 0.903
3 0.432 0.56 0.586
4 0.432 0.566 0.586
5 0.432 0.562 0.586
6 0.432 0.548 0.586
7 0.432 0.554 0.454
8 0.432 0.561 0.454
9 0.432 0.558 0.432
10 0.432 0.557 0.432
11 0.432 0.567 0.432
12 0.432 0.569 0.432
13 0.432 0.569 0.432
14 0.432 0.546 0.432
15 0.432 0.558 0.432
16 0.432 0.558 0.432
17 0.432 0.562 0.432
18 0.432 0.571 0.432
19 0.432 0.559 0.432
20 0.432 0.554 0.432
21 0.423 0.567 0.569
22 0.423 0.554 0.569
23 0.423 0.554 0.497
24 0.423 0.561 0.497
25 0.423 0.557 0.497
26 0.423 0.545 0.497
27 0.423 0.543 0.459
28 0.423 0.57 0.458
29 0.423 0.548 0.446
30 0.423 0.542 0.446
31 0.423 0.56 0.446
32 0.423 0.566 0.446
33 0.423 0.552 0.446
34 0.423 0.546 0.428
35 0.423 0.568 0.428
36 0.423 0.553 0.428
37 0.423 0.562 0.428
38 0.423 0.534 0.428
39 0.423 0.551 0.428
40 0.423 0.552 0.428
41 0.423 0.551 0.428
42 0.423 0.565 0.428
43 0.423 0.554 0.428
44 0.423 0.544 0.428
45 0.423 0.547 0.428
46 0.423 0.552 0.428
47 0.423 0.568 0.428
48 0.423 0.554 0.428
49 0.423 0.546 0.428
50 0.423 0.55 0.427
51 0.423 0.558 0.423
52 0.423 0.547 0.423
53 0.423 0.552 0.423
54 0.423 0.547 0.423
55 0.423 0.549 0.423
56 0.423 0.557 0.423
57 0.423 0.538 0.423
58 0.423 0.543 0.423
59 0.423 0.557 0.423
60 0.423 0.54 0.423
61 0.423 0.538 0.423
62 0.423 0.544 0.423
63 0.423 0.547 0.423
64 0.423 0.552 0.423
65 0.423 0.544 0.423
66 0.423 0.544 0.423
67 0.423 0.58 0.423
68 0.423 0.57 0.423
69 0.423 0.551 0.423
70 0.423 0.558 0.423
71 0.423 0.56 0.423
72 0.423 0.54 0.423
73 0.423 0.548 0.423
74 0.423 0.55 0.423
75 0.423 0.552 0.423
76 0.423 0.555 0.423
77 0.423 0.549 0.423
78 0.423 0.556 0.423
79 0.423 0.554 0.423
80 0.423 0.557 0.423
81 0.423 0.55 0.423
82 0.423 0.563 0.423
83 0.423 0.544 0.423
84 0.423 0.547 0.423
85 0.423 0.552 0.423
86 0.423 0.536 0.423
87 0.423 0.549 0.423
88 0.423 0.548 0.423
89 0.423 0.546 0.423
90 0.423 0.546 0.423
91 0.423 0.542 0.423
92 0.423 0.561 0.423
93 0.423 0.563 0.423
94 0.423 0.549 0.423
95 0.423 0.551 0.423
96 0.423 0.547 0.423
97 0.423 0.561 0.423
98 0.423 0.562 0.423
99 0.423 0.548 0.423
100 0.423 0.553 0.423
101 0.423 0.54 0.423
102 0.423 0.547 0.423
103 0.423 0.542 0.423
104 0.423 0.56 0.423
105 0.423 0.544 0.423
106 0.423 0.551 0.423
107 0.423 0.544 0.423
108 0.423 0.55 0.423
109 0.423 0.549 0.423
110 0.423 0.547 0.423
111 0.423 0.565 0.423
112 0.423 0.554 0.423
113 0.423 0.546 0.423
114 0.423 0.548 0.423
115 0.423 0.552 0.423
116 0.423 0.555 0.423
117 0.423 0.548 0.423
118 0.423 0.556 0.423
119 0.423 0.552 0.423
120 0.423 0.545 0.423
121 0.423 0.555 0.423
122 0.423 0.551 0.423
123 0.423 0.554 0.423
124 0.423 0.568 0.423
125 0.423 0.545 0.423
126 0.423 0.573 0.423
127 0.423 0.552 0.655
128 0.423 0.559 0.655
129 0.423 0.545 0.423
130 0.423 0.548 0.423
131 0.423 0.547 0.506
132 0.423 0.554 0.506
133 0.423 0.534 0.433
134 0.423 0.568 0.433
135 0.423 0.542 0.423
136 0.423 0.545 0.423
137 0.423 0.538 0.423
138 0.423 0.549 0.423
139 0.423 0.557 0.423
140 0.423 0.548 0.423
141 0.423 0.563 0.423
142 0.423 0.541 0.423
143 0.423 0.568 0.423
144 0.423 0.56 0.423
145 0.423 0.546 0.423
146 0.423 0.556 0.423
147 0.423 0.571 0.495
148 0.423 0.557 0.495
149 0.423 0.545 0.423
150 0.423 0.552 0.423
151 0.423 0.547 0.461
152 0.423 0.544 0.462
153 0.423 0.552 0.436
154 0.423 0.565 0.435
155 0.423 0.552 0.423
156 0.423 0.555 0.423
157 0.423 0.552 0.423
158 0.423 0.558 0.441
159 0.423 0.55 0.441
160 0.423 0.557 0.423
161 0.423 0.558 0.423
162 0.423 0.542 0.423
163 0.423 0.546 0.423
164 0.423 0.543 0.423
165 0.423 0.55 0.423
166 0.423 0.553 0.423
167 0.423 0.555 0.423
168 0.423 0.561 0.423
169 0.423 0.556 0.423
170 0.423 0.547 0.423
171 0.423 0.549 0.423
172 0.423 0.551 0.423
173 0.423 0.558 0.423
174 0.423 0.553 0.424
175 0.423 0.541 0.428
176 0.423 0.556 0.427
177 0.423 0.547 0.423
178 0.423 0.552 0.423
179 0.423 0.554 0.423
180 0.423 0.546 0.423
181 0.423 0.555 0.423
182 0.423 0.555 0.423
183 0.423 0.554 0.423
184 0.423 0.554 0.423
185 0.423 0.564 0.423
186 0.423 0.556 0.423
187 0.423 0.561 0.423
188 0.423 0.556 0.423
189 0.423 0.555 0.423
190 0.423 0.557 0.423
191 0.423 0.559 0.423
192 0.423 0.558 0.423
193 0.423 0.566 0.423
194 0.423 0.553 0.423
195 0.423 0.546 0.423
196 0.423 0.55 0.423
197 0.423 0.548 0.423
198 0.423 0.551 0.423
199 0.423 0.566 0.423
200 0.423 0.542 0.423
201 0.423 0.548 0.423
202 0.423 0.556 0.423
203 0.423 0.564 0.423
204 0.423 0.558 0.423
205 0.423 0.566 0.423
206 0.423 0.558 0.423
207 0.423 0.561 0.423
208 0.423 0.549 0.423
209 0.423 0.543 0.423
210 0.423 0.545 0.423
211 0.423 0.545 0.423
212 0.423 0.557 0.423
213 0.423 0.566 0.423
214 0.423 0.556 0.423
215 0.423 0.555 0.423
216 0.423 0.554 0.423
217 0.423 0.552 0.423
