iteration dijkstra random bandits
1 7.8e-2 0.753 0.968
2 7.8e-2 0.741 0.939
3 7.8e-2 0.771 0.943
4 7.8e-2 0.772 0.893
5 7.8e-2 0.756 0.893
6 7.8e-2 0.761 0.893
7 7.8e-2 0.765 0.875
8 7.8e-2 0.776 0.833
9 7.8e-2 0.762 0.875
10 7.8e-2 0.755 0.819
11 7.8e-2 0.778 0.822
12 7.8e-2 0.775 0.805
13 7.8e-2 0.751 0.762
14 7.8e-2 0.746 0.791
15 7.8e-2 0.738 0.761
16 7.8e-2 0.765 0.745
17 7.8e-2 0.774 0.706
18 7.8e-2 0.776 0.706
19 7.8e-2 0.759 0.656
20 7.8e-2 0.75 0.679
21 7.8e-2 0.781 0.625
22 7.8e-2 0.771 0.628
23 7.8e-2 0.781 0.574
24 7.8e-2 0.751 0.597
25 7.8e-2 0.748 0.585
26 7.8e-2 0.76 0.574
27 7.8e-2 0.75 0.533
28 7.8e-2 0.784 0.552
29 7.8e-2 0.783 0.534
30 7.8e-2 0.767 0.534
31 7.8e-2 0.761 0.534
32 7.8e-2 0.767 0.534
33 7.8e-2 0.774 0.507
34 7.8e-2 0.749 0.534
35 7.8e-2 0.731 0.498
36 7.8e-2 0.761 0.493
37 7.8e-2 0.759 0.471
38 7.8e-2 0.773 0.471
39 7.8e-2 0.758 0.469
40 7.8e-2 0.759 0.469
41 7.8e-2 0.776 0.469
42 7.8e-2 0.769 0.469
43 7.8e-2 0.76 0.469
44 7.8e-2 0.771 0.469
45 7.8e-2 0.756 0.432
46 7.8e-2 0.754 0.383
47 7.8e-2 0.769 0.366
48 7.8e-2 0.767 0.331
49 7.8e-2 0.753 0.34
50 7.8e-2 0.778 0.34
51 7.8e-2 0.774 0.323
52 7.8e-2 0.775 0.3
53 7.8e-2 0.771 0.323
54 7.8e-2 0.787 0.321
55 7.8e-2 0.759 0.3
56 7.8e-2 0.764 0.3
57 7.8e-2 0.765 0.271
58 7.8e-2 0.761 0.249
59 7.8e-2 0.763 0.271
60 7.8e-2 0.754 0.249
61 7.8e-2 0.735 0.237
62 7.8e-2 0.758 0.224
63 7.8e-2 0.763 0.197
64 7.8e-2 0.772 0.172
65 7.8e-2 0.755 0.197
66 7.8e-2 0.746 0.172
67 7.8e-2 0.766 0.172
68 7.8e-2 0.771 0.172
69 7.8e-2 0.762 0.172
70 7.8e-2 0.753 0.172
71 7.8e-2 0.774 0.144
72 7.8e-2 0.765 0.172
73 7.8e-2 0.775 0.144
74 7.8e-2 0.769 0.126
75 7.8e-2 0.752 0.101
76 7.8e-2 0.772 0.126
77 7.8e-2 0.76 0.101
78 7.8e-2 0.759 0.101
79 7.8e-2 0.78 0.101
80 7.8e-2 0.749 0.101
81 7.8e-2 0.782 0.101
82 7.8e-2 0.774 0.101
83 7.8e-2 0.758 0.101
84 7.8e-2 0.758 0.101
85 7.8e-2 0.752 0.101
86 7.8e-2 0.766 0.101
87 7.8e-2 0.78 0.101
88 7.8e-2 0.795 0.101
89 7.8e-2 0.776 0.101
90 7.8e-2 0.764 0.101
91 7.8e-2 0.777 0.101
92 7.8e-2 0.756 9.0e-2
93 7.8e-2 0.746 0.101
94 7.8e-2 0.753 0.101
95 7.8e-2 0.758 0.101
96 7.8e-2 0.752 9.2e-2
97 7.8e-2 0.752 9.0e-2
98 7.8e-2 0.75 8.1e-2
99 7.8e-2 0.769 8.1e-2
100 7.8e-2 0.757 8.1e-2
101 7.8e-2 0.767 8.1e-2
102 7.8e-2 0.75 8.1e-2
103 7.8e-2 0.763 8.1e-2
104 7.8e-2 0.762 8.1e-2
105 7.8e-2 0.765 7.8e-2
106 7.8e-2 0.768 8.1e-2
107 7.8e-2 0.742 7.8e-2
108 7.8e-2 0.77 7.8e-2
109 7.8e-2 0.777 7.8e-2
110 7.8e-2 0.75 7.8e-2
111 7.8e-2 0.77 7.8e-2
112 7.8e-2 0.753 7.8e-2
113 7.8e-2 0.779 7.8e-2
114 7.8e-2 0.759 7.8e-2
115 7.8e-2 0.762 7.8e-2
116 7.8e-2 0.763 7.8e-2
117 7.8e-2 0.771 7.8e-2
118 7.8e-2 0.747 7.8e-2
119 7.8e-2 0.782 7.8e-2
120 7.8e-2 0.746 7.8e-2
