iteration dijkstra random bandits
1 0.183 0.749 0.97
2 0.183 0.739 0.97
3 0.183 0.739 0.963
4 0.183 0.75 0.923
5 0.183 0.729 0.94
6 0.183 0.747 0.895
7 0.183 0.73 0.885
8 0.183 0.742 0.885
9 0.183 0.756 0.864
10 0.183 0.751 0.837
11 0.183 0.756 0.85
12 0.183 0.756 0.802
13 0.183 0.731 0.759
14 0.183 0.756 0.772
15 0.183 0.754 0.72
16 0.183 0.758 0.688
17 0.183 0.739 0.691
18 0.183 0.767 0.661
19 0.183 0.732 0.661
20 0.183 0.737 0.656
21 0.183 0.74 0.661
22 0.183 0.767 0.638
23 0.183 0.74 0.661
24 0.183 0.746 0.639
25 0.183 0.741 0.614
26 0.183 0.75 0.616
27 0.183 0.757 0.627
28 0.183 0.736 0.605
29 0.183 0.768 0.605
30 0.183 0.716 0.578
31 0.183 0.732 0.551
32 0.183 0.739 0.578
33 0.183 0.751 0.531
34 0.183 0.761 0.477
35 0.183 0.741 0.507
36 0.183 0.718 0.432
37 0.183 0.757 0.432
38 0.183 0.748 0.395
39 0.183 0.742 0.395
40 0.183 0.722 0.395
41 0.183 0.742 0.39
42 0.183 0.727 0.329
43 0.183 0.746 0.361
44 0.183 0.753 0.31
45 0.183 0.75 0.302
46 0.183 0.736 0.302
47 0.183 0.726 0.302
48 0.183 0.736 0.302
49 0.183 0.753 0.302
50 0.183 0.751 0.302
51 0.183 0.738 0.302
52 0.183 0.776 0.287
53 0.183 0.749 0.287
54 0.183 0.733 0.287
55 0.183 0.749 0.287
56 0.183 0.754 0.287
57 0.183 0.742 0.245
58 0.183 0.761 0.275
59 0.183 0.753 0.241
60 0.183 0.729 0.241
61 0.183 0.739 0.236
62 0.183 0.742 0.236
63 0.183 0.735 0.236
64 0.183 0.757 0.236
65 0.183 0.737 0.236
66 0.183 0.74 0.236
67 0.183 0.724 0.236
68 0.183 0.73 0.236
69 0.183 0.732 0.236
70 0.183 0.75 0.236
71 0.183 0.752 0.236
72 0.183 0.727 0.236
73 0.183 0.75 0.236
74 0.183 0.74 0.233
75 0.183 0.731 0.233
76 0.183 0.748 0.233
77 0.183 0.749 0.233
78 0.183 0.747 0.233
79 0.183 0.731 0.218
80 0.183 0.744 0.218
81 0.183 0.756 0.183
82 0.183 0.746 0.218
83 0.183 0.756 0.183
84 0.183 0.748 0.183
85 0.183 0.749 0.183
86 0.183 0.732 0.183
87 0.183 0.748 0.183
88 0.183 0.737 0.183
89 0.183 0.743 0.183
90 0.183 0.737 0.183
91 0.183 0.75 0.183
92 0.183 0.731 0.183
93 0.183 0.742 0.183
94 0.183 0.716 0.183
95 0.183 0.758 0.183
96 0.183 0.755 0.183
97 0.183 0.739 0.183
98 0.183 0.744 0.183
99 0.183 0.748 0.183
100 0.183 0.736 0.183
